date,time,open,high,low,close,volume
20250425,949,6250,6250,6250,6250,1
20250425,950,6260,6260,6250,6250,14
20250425,951,6250,6250,6250,6250,207
20250425,952,6250,6250,6240,6240,329
20250425,953,6240,6240,6240,6240,100
20250425,955,6240,6240,6240,6240,1502
20250425,1003,6250,6260,6240,6240,1620
20250425,1004,6260,6260,6260,6260,50
20250425,1005,6270,6270,6270,6270,1
20250425,1008,6260,6270,6260,6270,7
20250425,1009,6270,6270,6240,6240,16
20250425,1010,6240,6240,6230,6230,2000
20250425,1011,6230,6230,6230,6230,1869
20250425,1015,6230,6270,6230,6270,2396
20250425,1019,6260,6280,6260,6280,257
20250425,1021,6250,6250,6250,6250,123
20250425,1023,6250,6250,6250,6250,1
20250425,1025,6250,6250,6250,6250,3
20250425,1028,6250,6250,6250,6250,580
20250425,1029,6260,6270,6260,6270,10
20250425,1031,6260,6270,6260,6260,301
20250425,1032,6260,6260,6260,6260,116
20250425,1034,6270,6270,6270,6270,51
20250425,1035,6270,6270,6270,6270,36
20250425,1037,6250,6260,6250,6260,54
20250425,1044,6260,6260,6260,6260,20
20250425,1045,6250,6260,6250,6260,5
20250425,1046,6260,6260,6250,6250,20
20250425,1047,6250,6250,6250,6250,20
20250425,1050,6260,6260,6260,6260,40
20250425,1053,6240,6240,6240,6240,232
20250425,1056,6235,6240,6235,6240,21
20250425,1058,6240,6240,6240,6240,370
20250425,1100,6240,6240,6240,6240,188
20250425,1103,6240,6240,6230,6230,50
20250425,1105,6250,6260,6250,6260,10
20250425,1112,6240,6240,6240,6240,50
20250425,1113,6240,6240,6240,6240,50
20250425,1117,6250,6250,6250,6250,40
20250425,1118,6250,6250,6250,6250,35
20250425,1119,6250,6250,6250,6250,8
20250425,1121,6250,6250,6250,6250,1012
20250425,1122,6250,6250,6250,6250,487
20250425,1123,6250,6250,6250,6250,7
20250425,1124,6250,6250,6250,6250,10
20250425,1125,6250,6250,6250,6250,266
20250425,1127,6250,6250,6250,6250,44
20250425,1130,6250,6250,6250,6250,2
20250425,1135,6250,6250,6250,6250,2
20250425,1136,6240,6240,6230,6230,1578
20250425,1147,6230,6230,6230,6230,1
20250425,1148,6230,6230,6230,6230,300
20250425,1150,6220,6230,6220,6230,60
20250425,1152,6220,6220,6220,6220,4
20250425,1154,6220,6220,6220,6220,20
20250425,1156,6230,6230,6230,6230,36
20250425,1159,6230,6230,6230,6230,13
20250425,1202,6230,6230,6230,6230,3
20250425,1208,6230,6230,6230,6230,2
20250425,1209,6240,6240,6240,6240,17
20250425,1210,6240,6240,6230,6230,201
20250425,1214,6230,6230,6230,6230,143
20250425,1217,6240,6240,6240,6240,1
20250425,1218,6240,6240,6240,6240,154
20250425,1220,6240,6240,6240,6240,210
20250425,1221,6250,6250,6250,6250,1791
20250425,1224,6250,6250,6250,6250,1
20250425,1228,6250,6250,6240,6240,12
20250425,1232,6250,6250,6250,6250,4
20250425,1234,6250,6250,6250,6250,17
20250425,1240,6250,6250,6250,6250,135
20250425,1242,6250,6250,6250,6250,2
20250425,1243,6250,6250,6250,6250,3
20250425,1245,6250,6250,6250,6250,3
20250425,1246,6240,6240,6240,6240,5
20250425,1248,6250,6250,6250,6250,11
20250425,1250,6250,6250,6240,6240,20
20250425,1256,6245,6245,6245,6245,7
20250425,1258,6245,6245,6245,6245,1
20250425,1259,6250,6250,6250,6250,67
20250425,1300,6240,6240,6240,6240,5
20250425,1307,6250,6250,6250,6250,9
20250425,1309,6250,6250,6250,6250,4
20250425,1317,6250,6250,6250,6250,1
20250425,1325,6250,6250,6250,6250,7
20250425,1326,6240,6240,6240,6240,5
20250425,1328,6240,6240,6240,6240,2
20250425,1330,6240,6240,6240,6240,26
20250425,1333,6240,6240,6240,6240,1
20250425,1334,6250,6250,6250,6250,130
20250425,1337,6240,6240,6240,6240,1
20250425,1342,6240,6240,6230,6240,501
20250425,1343,6250,6250,6250,6250,800
20250425,1346,6250,6250,6250,6250,4
20250425,1348,6240,6250,6240,6250,516
20250425,1354,6250,6250,6250,6250,2
20250425,1355,6240,6240,6240,6240,300
20250425,1356,6240,6240,6240,6240,6
20250425,1357,6250,6250,6250,6250,20
20250425,1358,6250,6250,6250,6250,3
20250425,1400,6250,6250,6250,6250,5
20250425,1404,6250,6250,6250,6250,37
20250425,1407,6240,6240,6240,6240,1
